transaction_amount,transaction_hour,customer_age,customer_transaction_count,customer_avg_transaction_amount,customer_failed_payment_count,customer_chargeback_count,transactions_last_10_minutes,transactions_last_1_hour,account_age_days,distance_from_billing_location,ip_country_match,device_trust_score,new_device,new_ip,payment_method_age_days,card_bin_risk,merchant_risk_score,previous_fraud_flag,velocity_score,is_fraud
257.23,8,24,105,116.07,0,0,0,1,1089,29.64,1,88,1,0,738,0.106,0.172,0,0.64,0
13.48,14,34,86,204.83,0,0,0,2,1013,34.65,1,79,0,0,626,0.063,0.099,0,2.12,0
387.95,8,41,73,274.3,0,0,0,3,985,12.79,1,82,0,0,115,0.084,0.065,0,1.38,0
218.36,12,23,104,146.07,2,0,1,1,1239,4.88,1,74,0,0,345,0.144,0.185,0,0.7,0
432.38,13,24,98,36.76,0,0,1,0,516,5.44,1,99,0,0,550,0.044,0.035,0,1.37,0
284.74,21,55,27,146.39,0,0,0,1,311,24.35,1,87,0,1,677,0.157,0.107,0,0.13,0
92.23,14,36,111,124.25,0,0,0,1,1003,20.44,1,90,0,0,385,0.05,0.086,0,0.55,0
282.72,10,41,80,156.39,2,0,0,1,905,12.78,1,71,0,0,566,0.214,0.125,0,0.5,0
90.19,10,40,12,49.37,0,0,0,0,1452,16.06,1,80,0,0,277,0.095,0.141,0,1.5,0
324.34,16,31,20,257.0,0,0,0,3,1246,13.83,1,78,0,0,523,0.244,0.049,0,2.02,0
392.49,14,62,95,200.73,0,0,0,2,538,16.68,1,81,0,0,363,0.149,0.029,0,0.53,0
414.07,16,31,69,121.56,0,0,0,1,47,8.04,1,86,0,0,758,0.099,0.061,0,1.85,0
431.87,10,32,74,69.8,0,0,1,3,143,15.53,1,70,0,1,27,0.044,0.048,0,1.33,0
325.83,21,52,50,216.74,0,0,1,1,1345,2.23,1,91,0,1,497,0.094,0.093,0,0.94,0
22.83,14,57,101,151.4,0,0,0,3,854,17.13,1,84,0,1,523,0.067,0.093,0,0.37,0
420.01,16,32,100,61.87,0,0,0,3,607,7.73,1,88,1,0,134,0.051,0.17,0,1.36,0
430.43,17,48,50,214.15,0,0,0,0,256,28.72,1,82,0,0,517,0.025,0.13,0,1.43,0
421.99,9,55,25,88.38,0,0,0,1,1371,9.56,1,88,0,0,295,0.03,0.122,0,0.57,0
416.53,22,21,36,33.28,1,0,0,2,1462,55.57,1,84,1,1,261,0.158,0.081,0,1.09,0
10.69,7,54,69,245.07,0,0,0,1,1072,6.24,1,86,0,0,449,0.086,0.066,0,1.47,0
66.12,19,46,109,53.81,1,0,0,0,276,9.2,1,74,0,1,347,0.125,0.113,0,1.96,0
37.55,12,23,53,192.99,0,0,0,0,661,0.09,1,74,1,0,532,0.216,0.063,0,1.28,0
48.37,8,36,25,294.15,0,0,0,1,848,11.35,1,99,1,0,52,0.104,0.033,0,1.94,0
89.87,7,23,64,220.56,0,0,0,0,807,1.57,1,96,0,0,679,0.126,0.124,0,0.73,0
94.1,18,36,10,49.03,0,0,1,1,1216,6.09,1,94,0,0,630,0.19,0.161,0,2.18,0
49.35,17,65,60,147.03,0,0,0,0,561,19.66,1,76,0,1,200,0.027,0.081,0,0.76,0
401.61,13,57,93,172.13,1,0,0,0,393,40.19,1,79,0,0,750,0.091,0.051,0,1.73,0
386.16,15,57,51,229.46,0,0,0,3,303,18.11,1,78,1,0,385,0.103,0.161,0,1.29,0
130.69,13,38,31,75.0,0,0,0,2,731,18.72,1,84,0,0,713,0.095,0.139,0,0.92,0
367.02,22,59,65,196.24,0,0,0,2,775,13.74,1,96,0,0,441,0.121,0.068,0,2.23,0
37.93,21,63,60,73.65,0,0,0,1,461,13.87,1,87,0,1,593,0.064,0.146,0,0.73,0
154.93,19,24,94,183.66,0,0,0,2,1425,33.62,1,84,0,0,601,0.206,0.142,0,0.66,0
273.52,10,22,99,251.09,0,0,0,2,960,52.55,1,78,0,0,54,0.224,0.112,0,0.18,0
332.81,16,59,38,46.2,0,0,0,0,1268,21.44,1,99,0,0,110,0.25,0.147,0,1.56,0
167.6,16,48,59,216.91,0,1,1,3,183,3.59,1,96,1,0,733,0.2,0.183,0,2.16,0
194.81,8,43,67,268.83,0,0,0,2,179,14.82,1,92,0,0,422,0.058,0.104,0,0.14,0
449.3,11,49,93,132.43,0,0,1,0,251,15.26,1,83,1,0,601,0.233,0.062,0,0.23,0
122.93,8,61,96,218.57,0,0,0,1,183,0.61,1,97,1,0,799,0.073,0.026,0,0.46,0
219.82,14,32,25,194.04,0,0,0,2,1106,17.66,1,98,0,0,544,0.101,0.175,0,0.56,0
258.9,16,51,42,92.38,0,0,0,3,443,2.01,1,97,0,0,574,0.22,0.165,0,1.87,0
128.05,9,41,104,159.51,0,0,0,2,950,2.27,1,88,0,0,782,0.248,0.073,0,0.9,0
23.07,12,62,78,163.53,0,0,0,1,1339,26.22,1,71,0,0,498,0.203,0.114,0,1.61,0
30.85,8,46,54,133.74,0,0,0,0,240,1.79,1,83,1,0,634,0.165,0.076,0,1.75,0
56.53,14,58,32,245.63,0,0,0,1,977,18.45,1,72,0,0,115,0.06,0.066,0,1.59,0
344.57,7,30,29,126.78,0,0,0,0,1165,24.71,1,99,0,0,158,0.196,0.138,0,1.79,0
237.14,12,57,68,87.5,1,0,0,3,1189,19.45,1,76,0,1,169,0.189,0.158,0,1.03,0
237.87,20,55,115,70.89,0,0,0,3,721,41.89,1,89,1,0,156,0.143,0.187,0,1.52,0
292.61,9,45,101,71.29,0,0,0,2,1439,30.38,1,71,0,0,358,0.104,0.106,0,1.05,0
50.22,19,34,35,280.92,2,0,0,3,96,56.57,1,96,0,0,296,0.182,0.153,0,2.09,0
230.28,14,53,77,48.45,0,0,0,1,607,2.83,1,70,0,1,234,0.231,0.173,0,1.75,0
39.07,15,28,119,32.79,0,0,0,3,1349,2.75,1,70,0,0,329,0.118,0.056,0,0.32,0
396.72,9,62,63,88.36,0,0,0,2,1247,10.7,1,72,0,0,244,0.073,0.15,0,0.83,0
416.55,21,56,118,184.18,0,0,0,2,1320,42.06,1,83,0,0,646,0.171,0.128,0,2.3,0
295.62,22,26,48,219.37,1,0,0,0,1162,19.64,0,82,0,0,660,0.087,0.147,0,2.06,0
154.9,16,26,81,282.09,0,0,0,0,38,10.86,1,98,0,0,195,0.031,0.158,0,0.51,0
74.17,21,37,79,144.89,0,0,0,2,57,49.4,0,95,0,0,581,0.188,0.145,0,0.43,0
138.54,20,32,64,36.12,0,0,0,1,1393,19.09,1,83,0,0,437,0.087,0.17,0,1.57,0
370.08,8,27,91,181.55,1,0,0,2,1186,4.34,1,99,0,0,762,0.153,0.18,0,1.41,0
142.1,19,49,60,265.34,0,0,0,1,186,11.56,1,77,0,0,713,0.145,0.138,0,0.29,0
60.18,16,37,63,251.01,0,0,0,3,1185,12.22,1,89,0,0,439,0.207,0.168,0,1.01,0
292.66,17,36,61,58.87,0,0,0,3,77,5.08,1,80,0,0,568,0.238,0.038,0,1.1,0
372.42,13,59,82,198.23,0,0,0,1,808,3.04,1,99,0,1,609,0.014,0.178,0,1.35,0
343.05,17,54,71,156.72,0,0,0,1,367,0.83,1,91,0,0,515,0.18,0.171,0,2.11,0
1889.43,4,18,14,82.03,2,3,12,23,16,7516.96,0,45,1,0,1,0.939,0.682,1,7.32,1
417.1,9,31,29,159.25,0,0,0,1,761,9.64,1,92,0,0,260,0.238,0.16,0,2.37,0
295.16,10,24,107,165.46,0,0,0,1,1234,11.88,1,80,0,0,474,0.021,0.146,0,1.43,0
14.83,12,64,19,66.97,0,0,0,1,285,16.06,1,78,0,0,357,0.035,0.112,0,1.77,0
263.52,19,28,67,95.95,1,0,0,2,235,3.48,1,70,0,0,71,0.218,0.188,0,2.07,0
93.61,14,32,17,188.99,0,0,0,1,372,22.1,1,73,0,1,198,0.212,0.188,0,1.67,0
295.66,22,38,120,44.8,0,0,0,0,547,7.21,0,84,0,0,46,0.065,0.095,0,1.52,0
324.01,8,31,5,118.01,0,0,0,2,1060,14.05,1,74,0,0,119,0.155,0.128,0,0.72,0
205.56,19,21,48,151.12,0,0,0,2,167,18.77,1,79,0,1,751,0.087,0.071,0,1.94,0
69.41,7,41,115,166.25,0,0,0,2,884,11.6,1,97,0,0,102,0.233,0.045,0,1.75,0
62.27,12,41,66,201.85,0,0,0,3,814,16.63,0,71,0,0,497,0.155,0.109,0,0.38,0
287.53,22,36,99,257.13,0,0,1,3,460,4.97,1,94,0,0,563,0.084,0.188,0,0.01,0
12.24,16,65,109,111.95,0,0,0,2,1283,25.78,1,71,0,1,586,0.091,0.133,0,0.81,0
357.66,11,49,64,131.39,0,0,1,1,794,16.62,1,94,0,0,320,0.037,0.043,0,1.25,0
1883.14,3,49,12,34.61,8,1,3,6,12,4753.44,0,24,1,1,4,0.854,0.653,1,10.4,1
145.07,10,31,24,76.7,0,0,0,3,60,17.08,1,80,0,0,277,0.09,0.036,0,1.16,0
272.64,12,33,93,98.79,1,0,0,0,1440,3.23,1,99,1,0,540,0.131,0.055,0,2.48,0
74.14,16,55,38,87.14,0,0,0,2,893,0.37,1,90,1,1,493,0.052,0.162,0,0.17,0
3100.11,23,55,14,99.14,8,5,9,7,20,5413.12,1,11,1,1,7,0.714,0.899,0,6.76,1
77.94,21,22,8,239.7,0,0,0,1,175,1.91,1,92,0,1,553,0.248,0.119,0,1.82,0
256.52,8,54,33,143.53,0,0,1,3,476,7.51,1,80,0,0,592,0.086,0.062,0,1.47,0
308.45,22,58,61,270.73,0,0,1,1,325,4.16,1,76,0,0,259,0.028,0.067,0,0.66,0
137.59,16,49,37,153.42,0,0,0,1,676,13.63,1,97,0,0,697,0.113,0.196,0,0.71,0
189.75,13,32,46,165.8,0,0,0,2,240,5.57,1,84,0,1,771,0.226,0.173,0,0.59,0
398.27,17,56,65,91.04,0,0,0,2,928,7.58,1,72,0,0,308,0.038,0.107,0,0.06,0
190.95,10,42,17,239.71,0,0,0,2,976,3.76,1,75,0,0,568,0.185,0.169,0,2.41,0
337.47,21,33,19,58.25,0,0,0,2,109,1.05,1,81,0,0,614,0.096,0.081,0,0.13,0
368.76,19,35,25,256.6,0,0,0,2,187,8.11,1,89,1,1,746,0.087,0.079,0,1.29,0
233.08,15,33,79,178.26,0,0,0,1,1173,27.44,1,92,0,0,167,0.176,0.18,0,1.33,0
218.65,16,47,100,296.53,0,0,0,3,470,18.97,1,72,0,0,348,0.158,0.072,0,2.45,0
99.82,12,48,71,103.59,0,0,0,1,356,29.21,1,85,0,0,193,0.13,0.148,0,1.28,0
